,Theme,Title,Artist,Album,Lyric
0,신나는,냉면 (박명수  제시카  이트라이브),명카드라이브,무한도전 올림픽대로 듀엣가요제,차가워 너무나 속 시려 너무나.이빨이 너무 시려 냉면 냉면 냉면.가슴이 너무 시려 냉면 냉면 냉면.널 보면 너무나 또 다시 봐도 너무나.차디차 몸이 떨려 냉면 냉면 냉면.질겨도 너무 질겨 냉면 냉면 냉면.그래도 널 사랑해.Hey Ya hey Ya Fire Fire 오 아가씨.Yeah Ya Yeah Ya Warning Warning No No.Hey Ya hey Ya Fire Fire 시간 있어?.Yeah Ya Yeah Ya Warning Warning No No..눈부신 햇살이 달콤하게 다가와.새파란 파도가 상큼하게 밀려와.바닷가에서 처음 만난 그 때.콩닥콩닥 난 사랑에 빠졌어.용기내 건넨 부끄러운 한 마디.차갑게 돌아온 황당한 말이 (꺼져~).오 이럴 수가 어머나 어머나 나나 아이야..차가워 너무나 속 시려 너무나.이빨이 너무 시려 냉면 냉면 냉면.가슴이 너무 시려 냉면 냉면 냉면.널 보면 너무나 또 다시 봐도 너무나.차디차 몸이 떨려 냉면 냉면 냉면.질겨도 너무 질겨 냉면 냉면 냉면.그래도 널 사랑해.Hey Ya hey Ya Fire Fire 오 아가씨.Yeah Ya Yeah Ya Warning Warning No No.Hey Ya hey Ya Fire Fire 오빠 믿지?.Yeah Ya Yeah Ya Warning Warning No No..튕기는 모습에 난 푹 빠져버렸어.처음엔 몰랐어 그렇게 난 반했어.난난난 그래 정말 난 그래.미쳐 미처 생각지도 못했어.오 바짝바짝 속이 탄단 말이야.오 그댄 나에게 아베마리아 (마리아~).오 이럴수가 어쩌나 어쩌나 나 나 아이야..차가워 너무나 속 시려 너무나.이빨이 너무 시려 냉면 냉면 냉면.가슴이 너무 시려 냉면 냉면 냉면.널 보면 너무나 또 다시 봐도 너무나.차디차 몸이 떨려 냉면 냉면 냉면.질겨도 너무 질겨 냉면 냉면 냉면.그래도 널 사랑해.Oh Love me Love me Baby Yeah-Ya.Wanna Hold me Hold me Oh 옙삐 옙삐.Oh Love me Love me Baby Yeah-Ya.Wanna Hold me Hold me Oh 옙삐 옙삐..나 나나 나나 나나 나 나나.나나 나나 나나 나나 나 나나.나 나나 나나 나나 나 나나.나나 나나 나나 나나 나 나나.
1,신나는,다시 여기 바닷가,싹쓰리 (유두래곤  린다G  비룡),다시 여기 바닷가,예아 호우 예예예.싹쓰리 인더 하우스.커커커커커몬 싹 쓰리 투 렛츠고.나 다시 또 설레어.이렇게 너를 만나서.함께 하고 있는 지금 이 공기가.다시는 널 볼 순 없을 거라고.추억일 뿐이라.서랍 속에 꼭 넣어뒀는데.흐르는 시간 속에서.너와 내 기억은.점점 희미해져만 가.끝난 줄 알았어.지난여름 바닷가.너와 나 단둘이.파도에 취해서 노래하며.같은 꿈을 꾸었지.다시 여기 바닷가.이제는 말하고 싶어.네가 있었기에 내가 더욱 빛나.별이 되었다고.다들 덥다고 막 짜증내.괜찮아 우리 둘은 따뜻해.내게 퐁당 빠져버린 널.이젠 구하러 가지 않을 거야.모래 위 펴펴펴편지를 써.밀물이 밀려와도 못 지워.추억이 될 뻔한 첫 느낌.너랑 다시 한번 받아 보고 싶어.흐르는 시간 속에서.너와 내 기억은.점점 희미해져만 가.끝난 줄 알았어.지난여름 바닷가.너와 나 단둘이.파도에 취해서 노래하며.같은 꿈을 꾸었지.다시 여기 바닷가.이제는 말하고 싶어.네가 있었기에 내가 더욱 빛나.별이 되었다고.시간의 강을 건너.또 맞닿은 너와 나.소중한 사랑을 영원히.간직해줘.지난여름 바닷가.너와 나 단둘이.파도에 취해서 노래하며.같은 꿈을 꾸었지.다시 여기 바닷가.이제는 말하고 싶어.네가 있었기에 내가 더욱 빛나.별이 되었다고
2,신나는,산막이옛길을 달리는 소녀,위키미키(Weki Meki),산막이옛길을 달리는 소녀,Oh oh yeah (Hey).Gonna feel so good 함께 가 우리.매일 똑같은 일상 속.반복되는 지루했던 날.잠시 멈춰 (Hey turn it now).느낌대로 떠나 Let's go (Let's go).끝없는 얘기와 달콤한 사랑 얘기들.지난 우리들 말 못 했던.우리만의 Talking with you.좀 설레어 나 한숨도 못 잤어 (왜).직접 보면 너도 느낄걸.물과 산의 콜라보레이션 (Hey).그것보다 더 이쁠 순 없지 (아하).내 눈에 모두 담을 수 있겠지 (All right).너에게만 더 보여줄게 시작해.우리들만의 산막이옛길 (Yeah yeah).Whenever 이 순간 모든 게 완벽해.산과 강가에 푸른 하늘에 너와.설레임 가득 내 맘에 품고서.좋은 일들만 마구 떠올려 Yeah.설레이는 푸른 달빛 조명 아래.두 손을 잡고 걸어볼까.별빛을 바라보면서 우리 둘이.우주를 만들까 (우리만의 Galaxy).싱그러운 숲속 향기.I'm so good I'm so good yeah.저 바람에 잠시 몸을 맡겨봐.쏟아지는 별빛 아래.너와 내가 함께 있어.Whenever 이 순간 모든 게 완벽해.산과 강가에 푸른 하늘에 너와.설레임 가득 내 맘에 품고서.좋은 일들만 마구 떠올려 Yeah.Whenever 이 순간 모든 게 완벽해.산과 강가에 푸른 하늘에 너와.설레임 가득 내 맘에 품고서.좋은 일들만 마구 떠올려 Yeah ah ah.U oh Fused trees.우리 이 순간 영원히 함께 Oh pray.(Be a happiness).머리 위의 Emerald 항상 같은 모습.그 빛으로 간직해줘.자 Here we go 저 구름다리 끝엔.(뭐가 있을까).지도 따라 물길 따라가.Let's get it 널 찾아 떠나자 (All right).이것보다 더 이쁠 순 없지 (없지).내 눈에 모두 담을 수 있겠지 (겠지).너에게만 더 보여줄게 시작해.우리들만의 산막이옛길 (Yeah yeah).Whenever 이 순간 모든 게 완벽해.산과 강가에 푸른 하늘에 너와.설레임 가득 내 맘에 품고서.좋은 일들만 마구 떠올려 Yeah.Whenever 너와 있어서 완벽해.(You're my love 행복해).산과 강가에 푸른 하늘에 너와.(Beautiful scenery).설레임 가득 내 맘에 품고서 (또 보고파).좋은 일들만 마구 떠올려 Yeah.아름다운 Old &amp; Road
3,신나는,치맛바람 (Chi Mat Ba Ram),브레이브걸스(Brave Girls),Summer Queen,You know what it is.B girls are back Brave Sound.We're gonna be Summer Queens.You ready? We are BRAVE GIRLS.Oh Oh Oh Oh Oh Oh.Oh Oh Oh Oh Oh Oh Oh.Oh Oh Oh Oh Oh Oh.Oh Oh Oh Oh Oh.Just wanna give ur love.날 보는 눈빛에 분명 적혀있어.내게 Rollin' in the deep (Rollin' rollin').I don't want 지루함 Or 따분함.Oh get away.난 더 특별함을 원해 너에게.푸른 바람 불어와.두 볼을 스칠 때 (Hey).또 괜히 나 왜 두근거려 왜 (왜).Call me Desperado.뭐래도 몰라도 돼.오늘만은 내 멋대로.Go far away.치맛바람이 불어와 (불어와).내게도 사랑이 찾아와 Yeah.뜨거운 햇살이 비춰와 (비춰와).아름다운 여름밤이라구요.살랑 살랑 살랑 불어 기분 좋은 날에.바람 바람 바람 이 시원한 바람.찰랑 찰랑 찰랑 이 푸른 바닷가에.바람 바람 바람 치 맛 바 람.눈치 따위는 안 보여 Babe.(널 향한 내 맘에).내숭 따위는 Get nah Joy Babe.(This is my way).Your eyes on my body.눈 떼지 못해 넌.부디 오늘 밤은 I don't let you go.Ooh baby I mean You know.푸른 바람 불어와.두 볼을 스칠 때 (Hey).또 괜히 나 왜 두근거려 왜 (왜).Call me Desperado.뭐래도 몰라도 돼.오늘만은 내 멋대로.Go far away.치맛바람이 불어와 (불어와).내게도 사랑이 찾아와 Yeah.뜨거운 햇살이 비춰와 (비춰와).아름다운 여름밤이라구요.살랑 살랑 살랑 불어 기분 좋은 날에.바람 바람 바람 이 시원한 바람.찰랑 찰랑 찰랑 이 푸른 바닷가에.바람 바람 바람 치 맛 바 람.너와 함께 있고 이 밤은 빛나는데.Now I'm Fearless 난 없어 무서울게.I know 너도 내 맘과 같은 걸.We're just falling in love.Let's Go.Oh Oh Oh Oh Oh Oh (Oh Babe).Oh Oh Oh Oh Oh Oh Oh (시원한 이 바람).Oh Oh Oh Oh Oh Oh (Oh Babe Babe).치 맛 바 람
4,강한,상상더하기,라붐(LABOUM),Fresh Adventure,1  2 Come On R U Ready.3  4 Do It I'm Ready .5  6 Baby Are You Ready..지금 나와 어디든 가자 .지루한 하루 여기까지만 All Stop.작은 가방 운동화 챙겨 .자 더 크게 Radio를 높이고..코발트블루 물결 눈부신 바다.달빛 가득 묻은 작은 섬.야경이 눈부신 도시는 어때?.함께라면 어디든 좋아 .난 너와 나 그곳으로 ..떠나는 거야 .상상에 상상에 상상을 더해서.어머 깜짝야.눈부셔 눈부셔 눈부셔 이건 뭐.Oh Hello New World .두 손 모아 소리치면.푸른 하늘이 내게로 와..날아가볼래.상상의 상상의 미래로 가볼까.바람을 타고 .새로운 눈빛에 가슴이 붐 붐 붐.Oh 발견했어 우리들만의 Paradise..흑백영화 같은 하루에 .레몬 터지듯 짜릿함이 필요해.지금 당장 널 데려갈게 .꿈꿔오던 사진 속 그곳으로..민트그린빛 바람 가득한 숲 속.달콤한 향기의 칵테일.지도를 벗어나 Ticket To The Dream.함께라면 어디든 좋아 .난 너와 나 그곳으로..떠나는 거야 .상상에 상상에 상상을 더해서.어머 깜짝야 .눈부셔 눈부셔 눈부셔 이건 뭐.Oh Hello New World .두 손 모아 소리치면.푸른 하늘이 내게로 와..날아가볼래.상상의 상상의 미래로 가볼까.바람을 타고 .새로운 눈빛에 가슴이 붐 붐 붐 .Oh 발견했어 우리들만의 Paradise..너와 나의 비밀스런 풍경들.언제라도 다시 와 주겠니.은하수 아래 밤새 부른 노래 .영원히 잊지 않을 거야..이 시간 속에 영원히 .네 품에 안기고 싶은걸 .단 둘이 이순간 잠들고 싶은걸.지도엔 없는 이 곳을 꼭 기억해줘.우리들만의 Paradise ..상상에 상상에 상상을 더해서.어머 깜짝야.눈부셔 눈부셔 눈부셔 이건 뭐.oh Hello New World .처음 만난 세상 속에.나의 가슴이 라 라 라 라..날아가볼래.상상의 상상의 미래로 가볼까.바람을 타고 .새로운 눈빛에 가슴이 붐 붐 붐.Oh 발견했어 우리 들만의 Paradise..1  2 Come On R U Ready.3  4 Do It I'm Ready .5  6 Baby Are You Ready
5,강한,SUMMERIDE,박재범,SUMMERIDE,몸이 지쳤을 때 밖을 바라봐.자연과 함께 하나가 돼버리네.설레이는 마음 내가 달려가.위치 보내면 oh oh.Where u at? Pick u up.올라타 딱이네.We can go anywhere.Cruising everywhere.날씨도 최고네.분위기 거의 LA.We can go anywhere.Cruising everywhere.Summertime.We can play.고민 no 자유롭게.Girl open your window.Summertime.We can play.고민 no 자유롭게.Girl open your window.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Steady in my Chevy.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Steady in my Chevy.오랜만에 만난 여름날.Trailblazing through the streets.즐거운 이 느낌 엄청나.이 추억 간직하고파.이따 집에 가서 오늘 날짜.메모지에 적어놔.기분 super up.I don't give a what.We be drivin' drivin' girl.I can do this all day.어느 때도 언제나.Baby girl u can call me.매일 vacation.함께 있으면.도로도 천국이야.이 순간 맛있어 girl.I can taste it.Never stop green light.Always giddy up  let’s go.Summertime.We can play.고민 no 자유롭게.Girl open your window.Summertime.We can play.고민 no 자유롭게.Girl open your window.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Steady in my Chevy.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Steady in my Chevy.Summertime.We can play.고민 no 자유롭게.Girl open your window.Summertime.We can play.고민 no 자유롭게.Girl open your window.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Steady in my Chevy.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Summertime yeah SUMMERIDE.Steady in my Chevy
6,신나는,Tropical Love,오마이걸(OH MY GIRL),FALL IN LOVE,어둠이 내린 이 밤 커튼을 걷으면.아마 그 다음 넌 Wow더 놀랄 준비를 해.아무 이유 없이.여름날이 뜨거운 건 아닐 거야.자꾸 가슴이 뛰는 건 비밀로 해줄게 Wait wait.난 어느새 내 두 눈에 너를 빠져들게 해.기대해 난 너에게 멋진 기억을 줄 테니.너와 나의 마음은 어느새.사랑이란 열대우림에 훌쩍하고 날아가.이 꿈은 Beautiful 넌 말해 I love you.머리 위론 야자수 코코넛 한 모금.난 말해 I love you.새까만 너의 밤이 어느새 온통 푸른빛.여기선 밤새 헤엄쳐도 좋아.널 보면 나의 마음이 짙은 오렌지빛.Baby I love you so baby I love you.잠들지 못하는 건 어쩌면 당연한 거.더 다가설수록 적도에 가까워질 걸.너와 나 둘 사이 Like what.그늘 아래 우린 조금 더 가까이.베어 물수록 더욱더 단꿈 It's you.난 어느새 내 두 눈에 너를 빠져들게 해.기대해 난 너에게 멋진 기억을 줄 테니.너와 나의 마음은 어느새.사랑이란 열대우림에 훌쩍하고 날아가.이 꿈은 Beautiful 넌 말해 I love you.머리 위론 야자수 코코넛 한 모금.난 말해 I love you.새까만 너의 밤이 어느새 온통 푸른빛.여기선 밤새 헤엄쳐도 좋아.널 보면 나의 마음이 짙은 오렌지빛.Baby I love you so baby I love you.뜨겁던 태양이 저물어가던 그때.타오른 모닥불의 열기.들려온 음악 소리에.우린 서롤 마주 보며 춤을 춰.이 꿈은 Beautiful 넌 말해 I love you.머리 위론 야자수 코코넛 한 모금.난 말해 I love you.새까만 너의 밤이 어느새 온통 푸른빛.여기선 밤새 헤엄쳐도 좋아.널 보면 나의 마음이 짙은 오렌지빛.Baby I love you so baby I love you.Come on come on.너와 나 이 사랑은 Tropical.Come on come on.너와 난 So tropical baby I love you.Come on come on.너와 나 이 사랑은 Tropical.Come on come on.너와 난 So tropical.Baby I love you
7,신나는,Dance The Night Away,TWICE (트와이스),Summer Nights,나나나나나나나.나나나나나나나.You and me in the moonlight.별 꽃 축제 열린 밤.파도 소리를 틀고.춤을 추는 이 순간.이 느낌 정말 딱야.바다야 우리와 같이 놀아.바람아 너도 이쪽으로 와.달빛 조명 아래서.너와 나와 세상과.다 같이 Party all night long.Yeah it's good.If you wanna have some fun.짭짤한 공기처럼.이 순간의 특별한.행복을 놓치지마.One two three let's go.저 우주 위로 날아갈 듯 춤추러 가.Hey let's dance the night away.Let's dance the night away.One two three let's go.저 바다 건너 들릴 듯 소리 질러.Let's dance the night away.Dance the night away.Let's dance the night away.Dance the night away.Let's dance the night away.You and me in this cool night.미소 짓는 반쪽 달.그 언젠가 너와 나.저 달 뒷면으로 가.파티를 열기로 약속 Yeah it's good.If you wanna have some fun.은빛 모래알처럼.이 순간의 특별한.행복을 놓치지 마.One two three let's go.저 우주 위로 날아갈 듯 춤추러 가.Hey let's dance the night away.Let's dance the night away.One two three let's go.저 바다 건너 들릴 듯 소리 질러.Let's dance the night away.오늘이 마지막인 듯.소리 질러 저 멀리.끝없이 날아오를 듯.힘껏 뛰어 더 높이.오늘이 마지막인 듯.소리 질러 저 멀리.쏟아지는 별빛과.Let's dance the night away.Let's dance the night away.One two three let's go.저 바다 건너 들릴 듯 소리 질러.Let's dance the night away.Let's dance the night away
8,감성적인,혹시 모르니까,윤딴딴,혹시 모르니까,한 무더기 여름이 지나고.너와 걷고 싶은 거릴 걷고.또 걷고 싶어서.늘 그러고 싶었어.솔바람은 우릴 안고 있고.눈 돌린 그 끝엔 너의 입술.내 입술 꼭 삼켜.넌 머리를 또 넘겨.여기 조금 더 너와 있고 싶어.작은 쇠파이프처럼 너를 안고 싶어.그래도 혹시 모르니까.우리 혹시 모르잖아.저기 새빨간 너의 입술 위로.자주색 와인처럼 살짝 포개고 싶어.그래도 혹시 모르니까.우리 좀 더 걸어가자.오오 난 너와 걷고 싶은 거릴.걷고 또 걷고 싶어서.계속 핑계를 찾았어.솔바람은 우릴 안고 있고.눈 돌린 그 끝엔 너의 웃음.내 웃음 꼭 지어.넌 머리를 또 넘겨.여기 조금 더 너와 있고 싶어.작은 쇠파이프처럼 너를 안고 싶어.그래도 혹시 모르니까.우리 혹시 모르잖아.저기 새빨간 너의 입술 위로.자주색 와인처럼 살짝 포개고 싶어.그래도 혹시 모르니까.우리 좀더 걸어가자.오오 난 이 상황에.뭐가 더 필요한 건지.오오 너 날 다 알면서 왜.나 엄한데 힘쓰지 않을래.나 너와 있고 싶어.작은 쇠파이프처럼 너를 안고 싶어.그래도 혹시 모르니까.우리 혹시 모르잖아.여기 떨리는 나의 가슴 위로.너의 손 꼭 잡고 살짝 포개고 싶어.그래도 혹시 모르니까.우리 혹시 모르니까
9,감성적인,키스해볼까?,정용화(Jung Yong Hwa),키스해볼까? (나를 사랑한 스파이 OST Part.1),나 왜 이럴까 너를 만나면.내 기분이 잘 조절이 안돼.너의 작은 행동 말투에.자꾸 헷갈려 Up &amp; Down.널 안 보는 척 듣지 못한 척.딴청 부리는 내가 어색해.그럴수록 티가 날 텐데.한 뼘 자라난 Oh 내 사랑.하나 둘 셋 세보면.너를 좋아할 이유가 넘쳐.Oh it's my love 자꾸 보고 싶고.손잡고 싶고 안고 싶은 이 맘.두근거리면 그건 Love 그게 맞을 거야.매일 어제보다 오늘이.더 예뻐 보이는 너를 사랑하지만.아직 말도 못 하는 그 이유는.I I don't know.두 눈 감아도 눈을 떠봐도.내 세상엔 어디를 봐도.너란 그림이 그려 있어.하나 둘 셋 걸으면.어디로 가도 결국 니 앞에.Oh it's my love 자꾸 보고 싶고.손잡고 싶고 안고 싶은 이 맘.두근거리면 그건 Love 그게 맞을 거야.매일 어제보다 오늘이.더 예뻐 보이는 너를 사랑하지만.아직 말도 못 하는 그 이유는.I don't know.늘 연습만 했던 말.오늘은 꼭 하고 싶어.지금 너에게 가고 있어.Oh it's my love 자꾸 보고 싶고.손잡고 싶고 안고 싶은 이 맘.나와 같다면 우린 Love 그게 맞을 거야.매일 어제보다 조금씩.더 커져만 가는 사랑 알게 될 거야.나와 함께한다면 이 사랑을 I give to you.Tik Tok Tik Tok 시간만 가는데.Yeah 더 늦기 전에 그래.우리 키스해볼까?
