,Unnamed: 0,Theme,id,Title,Artist,Album,Lyric,E,I,S,N,F,T,P,J,theme_E,theme_I,theme_S,theme_N,theme_F,theme_T,theme_P,theme_J
0,0,쓸쓸한,6099212,음 (YALLA),우주소녀,UNNATURAL,너의 눈빛을 흔들어 이 느낌 넌 마치 Dejavu.더 깊이 깊이 눈 감은 너에게 줄게.Baby nobody knows baby nobody knows.어지러운 너에게 더 부드럽게.작게 속삭일게 그럼 너는 Too late.Come on 손을 뻗은 너에게 닿을 때 눈 감아.살짝 깨물어 봐 그땐.Yalla yalla 음.다시 펼쳐진 또 다른 세계.느껴봐 너만 보이는 내 신기루 Oh.달콤한 Fakeness.Yalla yalla la.달콤한 Fakeness.Baby nobody knows.달콤한 Fakeness.Yalla yalla la.달콤한 Fakeness.Baby nobody knows.선율율같이 퍼져 Is you you like 독.That's dope 또 피어날 거야 가시가 돋친 꽃.완벽한 조화 맞춰지는 조각.조금은 아픈 이대로가 좋아 Ah.넌 내게 내게 이끌려 와 더 높이 높이 위로.흔들리는 너에게 더 알 수 없게.깊이 속삭일게 이제 넌 No way out.Come on 손을 뻗은 너에게 닿을 때 눈 감아.살짝 깨물어 봐 그땐.Yalla yalla 음.다시 펼쳐진 또 다른 세계.느껴봐 너만 보이는 내 신기루 Oh.달콤한 Fakeness.Yalla yalla la.달콤한 Fakeness.Baby nobody knows.달콤한 Fakeness.Yalla yalla la.달콤한 Fakeness.Baby nobody knows.조금 더 짙게 물들어 가.네 꿈에 환상처럼 눈 감아도 느껴지게 Oh.모든 순간 네가 날 느낄 수 있게.맘속 깊이 번져가.It's over 음.달콤한 Fakeness.Yalla yalla La (달콤한 Trick 그 안에 너에게).달콤한 Fakeness.Baby nobody knows.달콤한 Fakeness.Yalla yalla La (번져가 Baby).달콤한 Fakeness.Baby nobody knows.No no no.네 맘 깊은 곳에 물들어 Yalla.아무도 모르게.Yalla yalla la.네 맘 깊은 곳에 물들어 Yalla.벗어날 수 없게.Yalla yalla 음,0.15197413299679757,0.23999415595531462,0.12936173677444457,0.027788806301355364,0.20015690724054971,0.11846598237752914,0.07253436247507732,0.05494387944539388,-1,1,1,-1,1,-1,0,0
1,1,신나는,31251066,Wow Thing,슬기(SEULGI),Wow Thing,Woo yeah yeah woo.온종일 숨이 차게 달려 봐도.제자리 쳇바퀴 돌기.답답함만 더 늘어 갈 뿐.아찔 아찔한 발밑에.더 위태위태 외줄 타기.질끈 감아 버린 두 눈.난 지금 막 잠 깨어나.첫 날개를 펼친 Butterfly.오직 나를 위한 무대.밝아지는 조명 아래.Oh 날아오를래.터질 듯한 내 맘 따라.Boom boom boom.온 세상이 다 나를 따라.Zoom zoom zoom.시작해 꿈꿔 왔던 날 만나게 될.Wow thing.전에 없던 날 만들어 줄.Wow thing.내가 있는 어디라도 멋진.Wow wow thing.Ba dam bo bomb ba.Dada da dada da da da.Ba dam bo bomb ba.Dada da dada da da da.Ba dam bo bomb ba.Dada da dada da da da.멋진 멋진 일이 생길 것만 같아.여기저기 이제 내 이름을 찾아.볼 수 있을 거 같아.어릴 적 꿈처럼 말이야.0점이던 내 꿈에.노력이란 하나를 더하고.그저 그냥 Young하던.생각은 이제 현실이 돼 영원해졌다고.야야 다 깜짝 놀랄 거야 Wow thing.드디어 탄생한 것 나의 Wow thing.난 긴 밤에서 눈을 떠.기다렸던 하얀 Butterfly.젖었던 날개 펼쳐 난 날아가 이제.터질 듯한 내 맘 따라.Boom boom boom (Yeah yeah).온 세상이 다 나를 따라.Zoom zoom zoom (Okay).시작해 꿈꿔 왔던 날 만나게 될.Wow thing.전에 없던 날 만들어 줄.Wow thing.내가 있는 어디라도 멋진.Wow wow thing.누가 누가 누가 더 멋진 (Yeah yeah woo).누가 누가 더 빛나는지 (Umm).누가 누가 누가 더 높이 (Woo).누가 누가 더 높이 날지 (Uhh).온종일 벽에 막힌 하루 끝에.이제 나의 막이 올라.시계를 보니 0시 00분.두근대는 마음이 홀린 듯이 이끌린.눈부신 Wow wow thing.터질 듯한 내 맘 따라.Boom boom boom (Oh yeah).온 세상이 다 나를 따라.Zoom zoom zoom.시작해 꿈꿔 왔던 날 만나게 될.Wow thing (Wow thing).전에 없던 날 만들어 줄.Wow thing (Wow thing).내가 있는 어디라도 멋진.Wow wow thing.누가 누가 누가 더 멋진.(누가 더 누가 더).누가 누가 더 빛나는지.(누가 더 누가 더).누가 누가 누가 더 높이.시작해 꿈꿔 왔던 날 만나게 될.Wow thing.전에 없던 날 만들어 줄.Wow thing.We got the wow wow thing,0.05422192547917366,0.11644153926968574,0.031072962284088134,-0.006138177865836769,0.12286564707756042,0.07649289816617966,-0.04794013500213623,-0.048496052622795105,1,-1,0,0,1,-1,1,-1
2,2,신나는,1758938,소원을 말해봐 (Genie),소녀시대 (GIRLS' GENERATION),The Second Mini Album - 소원을 말해봐,Turn it up~! Just turn it up~! That's right  Come on! ..소원을 말해봐! 니 마음속에 있는 작은 꿈을 말해봐. .니 머리에 있는 이상형을 그려봐. 그리고 나를 봐..난 너의 Genie야  꿈이야  Genie야. ..드림카를 타고 달려봐. 넌 내 옆자리에 앉아..그저 내 이끌림 속에 모두 던져. .가슴 벅차 터져버려도  바람결에 날려버려도.지금 이 순간 세상은 너의 것. ..그래요 난 널 사랑해. 언제나 믿어..꿈도 열정도 다 주고 싶어. .난 그대 소원을 이뤄주고 싶은(싶은) 행운의 여신. .소원을 말해봐! (I'm Genie for you  boy!).소원을 말해봐! (I'm Genie for your wish.) .소원을 말해봐! (I'm Genie for your dream.).내게만 말해봐! (I'm Genie for your world.)..소원을 말해봐! 지루한 날들이 넌 지겹지 않니? .평범한 생활에 넌 묻혀버렸니? 이제 그만 깨어나..넌 나의 Superstar  shining star  superstar...심장소리 같은 떨림의 Harley에 네 몸을 맡겨봐..이제 이 세상은 오직 너의 무대. .환호소리 같은 파도가  내 가슴엔 너의 체온이.나는 너의 길. 영원한 Biggest fan...그래요 난 널 사랑해. 언제나 믿어..꿈도 열정도 다 주고 싶어. .난 그대 소원을 이뤄주고 싶은(싶은) 행운의 여신. .소원을 말해봐! (I'm Genie for you  boy!).소원을 말해봐! (I'm Genie for your wish.) .소원을 말해봐! (I'm Genie for your dream.).내게만 말해봐! (I'm Genie for your world.).소원을 말해봐!..DJ! put it back on. ..그래요 난 널 사랑해. 언제나 믿어..꿈도 열정도 다 주고 싶어..난 그대 소원을 이뤄주고 싶은(싶은) 행운의 여신..소원을 말해봐! ..난 널 사랑해. 넌 나의 Music..난 널 사랑해. 넌 나의 기쁨. .난 널 사랑해. 난 너의 행운-이 되고 싶어. .(너의 Fantasy를 숨김없이 말해봐.나는 Genie 길을 보여줄게 .니가 가진 소원 숨김없이 말해봐.너의 Genie 내가 들어줄게) ..소원을 말해봐! (I'm Genie for you  boy!).소원을 말해봐! (I'm Genie for your wish.) .소원을 말해봐! (I'm Genie for your dream.).내게만 말해봐! (I'm Genie for your world.).소원을 말해봐! (I'm Genie for you  boy!).소원을 말해봐! (I'm Genie for your wish.).소원을 말해봐!.,0.048985943537950515,0.07898742516040802,0.061421525478363034,0.01631223518848419,0.15197273095448813,0.0996672660112381,-0.017297852784395218,-0.034895809988180794,1,-1,0,0,1,-1,1,-1
3,3,일렉트로닉,64718,추억 속의 그대,황치훈,추억 속의 그대,희미해지는 지난 추억 속의 그 길을.이젠 다시 걸어볼 순 없다 하여도.이 내 가슴에 지워버릴 수 없는.그때 그 모든 기억들..그대의 사랑이 지나가는 자리엔.홀로된 나의 슬픈 고독뿐 .그대가 다시 올 순 없어도 .지나간 추억만은 영원히..다시 돌아올 수 없는 사랑에.홀로 돌이켜본 추억은 .다만 아름답던 사랑뿐..다시 돌아올 수 없는 사랑에 .홀로 돌이켜본 추억은 .다만 아름답던 기억뿐 ..희미해지는 지난 추억 속의 그 길을.이젠 다시 걸어볼 순 없다 하여도.이 내 가슴에 지워버릴수 없는.그때 그 모든 기억들..그대의 사랑이 지나가는 자리엔.홀로된 나의 슬픈 고독뿐 .그대가 다시 올 순 없어도 .지나간 추억만은 영원히..다시 돌아올 수 없는 사랑에.홀로 돌이켜 본 추억은 .다만 아름답던 사랑뿐..다시 돌아올 수 없는 사랑에 .홀로 돌이켜본 추억은 .다만 아름답던 기억뿐 ..다시 돌아올 수 없는 사랑에 .홀로 돌이켜본 추억은 .다만 아름답던 사랑뿐,0.1582219253897667,0.24760196466445922,0.15086532831192018,0.055827493560314176,0.23125547170639038,0.15737572312355042,0.013765225807825724,0.019301647941271465,1,-1,-1,1,-1,1,0,0
4,4,신나는,6115019,치맛바람 (Chi Mat Ba Ram),브레이브걸스(Brave Girls),Summer Queen,You know what it is.B girls are back Brave Sound.We're gonna be Summer Queens.You ready? We are BRAVE GIRLS.Oh Oh Oh Oh Oh Oh.Oh Oh Oh Oh Oh Oh Oh.Oh Oh Oh Oh Oh Oh.Oh Oh Oh Oh Oh.Just wanna give ur love.날 보는 눈빛에 분명 적혀있어.내게 Rollin' in the deep (Rollin' rollin').I don't want 지루함 Or 따분함.Oh get away.난 더 특별함을 원해 너에게.푸른 바람 불어와.두 볼을 스칠 때 (Hey).또 괜히 나 왜 두근거려 왜 (왜).Call me Desperado.뭐래도 몰라도 돼.오늘만은 내 멋대로.Go far away.치맛바람이 불어와 (불어와).내게도 사랑이 찾아와 Yeah.뜨거운 햇살이 비춰와 (비춰와).아름다운 여름밤이라구요.살랑 살랑 살랑 불어 기분 좋은 날에.바람 바람 바람 이 시원한 바람.찰랑 찰랑 찰랑 이 푸른 바닷가에.바람 바람 바람 치 맛 바 람.눈치 따위는 안 보여 Babe.(널 향한 내 맘에).내숭 따위는 Get nah Joy Babe.(This is my way).Your eyes on my body.눈 떼지 못해 넌.부디 오늘 밤은 I don't let you go.Ooh baby I mean You know.푸른 바람 불어와.두 볼을 스칠 때 (Hey).또 괜히 나 왜 두근거려 왜 (왜).Call me Desperado.뭐래도 몰라도 돼.오늘만은 내 멋대로.Go far away.치맛바람이 불어와 (불어와).내게도 사랑이 찾아와 Yeah.뜨거운 햇살이 비춰와 (비춰와).아름다운 여름밤이라구요.살랑 살랑 살랑 불어 기분 좋은 날에.바람 바람 바람 이 시원한 바람.찰랑 찰랑 찰랑 이 푸른 바닷가에.바람 바람 바람 치 맛 바 람.너와 함께 있고 이 밤은 빛나는데.Now I'm Fearless 난 없어 무서울게.I know 너도 내 맘과 같은 걸.We're just falling in love.Let's Go.Oh Oh Oh Oh Oh Oh (Oh Babe).Oh Oh Oh Oh Oh Oh Oh (시원한 이 바람).Oh Oh Oh Oh Oh Oh (Oh Babe Babe).치 맛 바 람,0.09600236617475748,0.17582578208744526,0.06453834176063537,0.007694546219095355,0.13734036684036255,0.04709364473819733,0.019678217669328053,-0.04117920249700546,1,-1,0,0,1,-1,1,-1
5,5,봄,30824692,연애를 시작한다는 건 말이야,블루파프리카(Bluepaprika),같은 시간  다른 밤,나는 매번 거절할 걸 알면서 고백해.너는 매번 아닌 척하면서도 웃었지.그런 네가 나를 행복하게 해.너는 매번 들킬걸 알면서도 숨기고.나는 매번 모른 척하는데도 다가가.이런 우리 사인 아직 어색해.그런데도 너의 모든 것이 궁금해.그래 연애를 시작한다는 건 말이야.집에 오는 길에 맥주처럼.멈출 수가 없는 것.사랑이 시작된다는 건 말이야.밤하늘에 별들까지.모든 것이 너를 향해가는 것.나는 요즘엔 나보다 너를 더 생각해.너는 요즘 들어 웃는 모습이 많아져.그런 너의 미소가 날 웃게 해.그런 너의 모든 것을 감싸 안을게.그래 연애를 시작한다는 건 말이야.달콤한 초콜릿처럼.멈출 수가 없는 것.사랑이 시작된다는 건 말이야.휴일을 앞둔 저녁처럼.모든 것이 아름다워지는 것.길어져만 가는 새벽에 전화.뻔하지만 설레는 얘기들.두려워 망설이는 널 놓지 않을게.네가 다시 끓어오를 때까지.연애를 시작한다는 건 말이야.집에 오는 길에 맥주처럼.멈출 수가 없는 것.사랑이 시작된다는 건 말이야.밤하늘에 별들까지.모든것이 너를 향해 가는 것,0.09987368952929973,0.1528871807873249,0.10463277101516724,0.02347602058649063,0.1903939644495646,0.14931420981884003,0.06697877744833629,0.03467373549938202,0,0,1,-1,1,-1,0,0
6,6,신나는,32120797,MY TREASURE,TREASURE(트레저),THE FIRST STEP : TREASURE EFFECT,지친 하늘빛.해는 잠들고.바람이 불면.다 지나가고 있어.꿈에서 깬 듯.다시 새롭게.It's alright 잘 될 거야.탁해 맘이.답답해 숨을 쉴 수가 없잖아.I wanna go back to the good times.하 한숨만 나와.가볍게 아무 노래나 틀어놓고.너와 춤추고 싶어.비가 그치면.맑은 하늘이 우릴 기다리듯.더 좋은 날이 밝아 올 거야.겨울 끝에 봄이 와.가는 길 어디든 꽃 필 거야.너 보란 듯이.It's gonna be alright.C'mon.걱정 마.한 번 더 뜨겁게 웃어줘 뜨겁게.웃을 때 더 예뻐 넌.힘을 내.우린 결국 빛날 테니.감은 눈을 떠.You're the only one TREASURE.안되면 어때 다시 시작해.더는 울지 마요.내일이 올 때 빛나는 존재.You're the only one TREASURE.It's all good day.삭막해져 버린 세계.분위기가 너무 Deep 해.행복에 갈증을 느껴 원해 오아시스.필요해 하늘에 Pray.We can believe 항상 그랬듯이.웃음을 잃지 마 절대로.돌아오겠지 행복하던 그 날 그때로.We're gonna be ok.비 그치고 맑은 날이 올 때.우린 행복해지고 Yea.언제나 내게로 와서 손을 잡아.눈물조차 힘이 될 거야.아무 걱정 하지 마.네 맘대로 멋대로.즐기는 거야.남 보란 듯이.It's gonna be alright.C'mon.걱정 마.한 번 더 뜨겁게 웃어줘 뜨겁게.웃을 때 더 예뻐 넌.힘을 내.우린 결국 빛날 테니.감은 눈을 떠.You're the only one TREASURE.짙은 새벽 지나.잠들었던 해가 떠올라.우리를 비추면.시들었던 행복과.피지 못한 사랑이.다시 자라날 테니.Never give up.MY TREASURE.All we need is love.걱정 마.한 번 더 뜨겁게 웃어줘.웃을 때 더 예뻐 넌.힘을 내 Just for me.너는 더 빛날 테니.You're the only one.You're my TREASURE.안되면 어때 다시 시작해.더는 울지 마요.내일이 올 때 빛나는 존재.You're the only one TREASURE.못하면 어때 다시 시작해.크게 웃어봐요.내일이 올 때 빛나는 존재.You're the only one TREASURE,0.10671416778564453,0.19574098546504975,0.12110331058502197,0.022499218829721213,0.1924436887105306,0.13361221551895142,0.05650915205478668,0.02239033083120982,1,-1,0,0,1,-1,1,-1
7,7,봄,32128799,꿈에서,스트레이(The Stray),꿈에서,한결같이 난 오늘도.방 한켠에서 누워만 있어.언제나 그래왔듯.꿈속에서 널 찾고 있어.이미 내게 줄 마음이 없단 걸 알아.이런 날 바라봐달란 게 아냐.없었던 것처럼 없었던 일처럼.지워져 가는 게 두려워.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난.이미 내게 줄 마음이 없단 걸 알아.이런 날 바라봐달란 게 아냐.없었던 것처럼 없었던 일처럼.지워져 가는 게 두려워.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난.끝없는 상상 속에서.가끔 널 마주치면.모르는 척하곤 해.눈물이 앞을 가려도.작은 허상이라도.난 간절히 바래.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난.Ooh ooh ooh ooh.꿈에선.내 이름을 불러줘.현실이 아니라도 지금은 괜찮아.난,0.059721233290433884,0.11325727809667588,0.1056969404220581,-0.007208301904797554,0.20159598191579184,0.14446361362934113,0.021862611174583435,-0.00025451183319091797,0,0,1,-1,1,-1,0,0
8,8,신나는,32193117,CAPTAIN,강승윤,PAGE,YES SIR.외로움이란 이름의 바다 바다에.길을 잃은 내 눈앞은 까막까막해.저기 멀리 가까워지는 범선 한 대.그렇게 해피엔딩 우리 이야기라네.난 그대의 선원 그댄 캡틴이라오.표류하는 나를 구해줬잖소.방패는 없지만 그댄 캡틴이라오.여태 내 옆자리를 지켜줬잖소.오오오오오오.이젠 내가 그댈 지켜주겠소.나의 BOSS.나의 LEADER.나의 HERO.나의 CAPTAIN.YES SIR.노래 부르리 목 놓아 노래 부르리.YES SIR.그대 따르리 생에 끝까지 따르리.YES SIR.오오오오오오.나의 BOSS.나의 LEADER.YES SIR.오오오오오오.나의 HERO.나의 CAPTAIN.지금 이 행복은.그대 말을 따라서.자다가도 생겨난 떡이라오.매일이 전쟁 같은.이 세상 속에 나의.승리를 이끈 그댄 캡틴이라오.오오오오오오.이젠 편히 등을 내게 맡기시오.나의 BOSS.나의 LEADER.나의 HERO.나의 CAPTAIN.YES SIR.노래 부르리 목 놓아 노래 부르리.YES SIR.그대 따르리 생에 끝까지 따르리.YES SIR.오오오오오오.나의 BOSS.나의 LEADER.YES SIR.오오오오오오.나의 HERO.나의 CAPTAIN.L O V E 란 이름의 바다 바다에.비친 햇살은 너무도 반짝반짝해.선장과 선원 둘뿐인 저기 돛단배.그렇게 해피엔딩 우리 이야기라네,0.04764797050952911,0.026165488329529762,-0.13611441850662231,-0.020047462391853333,-0.021643427511056263,-0.10944530367851257,-0.2221698760986328,-0.1749836007754008,1,-1,0,0,1,-1,1,-1
9,9,봄,31655855,Xxx Type Song (Feat. 진끼),LIL BOY DREAM,Love Dream,We on flight.For hanging out.Im with the cash.With my ice.With my girl.As your boy.We arrive.(So sick of different time).I want you when I die.You do wake me up.All day and night.I take you off.You numbing right.Dont you cry im doing kind.Im on lying.솔직히 한글로는 구사하기 어색한 그말.고단했던 하루뒤에 입에 다셔지는 맛.너그러이 받아줬으면해 내가 혹여나.무례하게 굴거나 혹 서툴게 더듬거나.Im searching on your mood wave.헤어나기 힘겨운 유혹앞에.너를 생각해 아리따운 옷태.저기 앞바다 오션뷰의 호텔.Private pool 잔뜩 퍼진 음기.먹잇감이 되줄꺼야 Pop champagne.By new sunset imma be your beast.To get my hopes up 훤히 보이지.남잔원래 개래 그래 나의 주인 되줘.나의 투정 오늘이야말로 곱빼기로 해.You mad at who? See it on your face.Can I ask a q? 말해줘.Who made you melancholy?.때마침 U send me pic u naked.같이 사러갔던 Brd new vic secret.Imma be your baby.But no need your nagging.초침같아 너의 잔소리가.내 아이폰 너머 Calling.근데 왠지 오늘은 Im fine.이율 말하자면 나는 가는중야 너의 앞.아마 너의 얼굴emoji는 볼빨간 왕눈이야.이젠 내차례인듯해.Cuz u in front of me right now.알아 이제 그 노래가 무슨 뜻인지.하루아침에 다른 사이같은 마음을.사랑은 나도 처음이야.낯 간지러운 영화처럼.붙어있다가도.잘 못맞추는 눈.동그란 코끝을.조금 축축한 손.간지러운 웃음을.보이지 않아도 그리는 거야.그래서 불이 필요하지 않은 난.너의 향기를 묻혀.그리고도 다른 걸 훔쳐.(We on same time).(For sharing smile).(Hug me tight).(Dont hurt me now).(We on flight).(For hanging out).(Ion need no fright).(We on chilling now).(Staring view around).(What a creepy night).(나와 너의 밤).(Bet u satisfy).(Let me wet you now).(노래가).(너의 허리와 끈적한 Mood와).숨을 쉬고 있어도 불안해보였던.(같은 공기속이라서 더워보였던 너를).부딪히는 두가지 색 하늘마저도 좋아.(저하늘에 다시 아침이올때까지 너를).가끔 물음표 표정으로 쳐다보는 때면.(궁금한게 많아 너의 하나부터 열까지).하늘에서 툭 떨어진 것 같은 네가 좋아.(약속해 너가했던말 나에게만 해주기를).솔직히 한글로는 구사하기 어색한 그말.(고단했던 하루뒤에 입에 다셔지는 맛).너그러이 받아줬으면해 내가 혹여나.(무례하게 굴거나 혹 서툴게 더듬거나),0.08241258614212274,0.1434871399447322,0.051619845628738406,0.0005980373265221717,0.17195280392964682,0.07334940880537033,-0.0004967326919237772,-0.03940915813048681,0,0,1,-1,1,-1,0,0
